Order_ID,Order_Date,Customer,Product,Category,Region,Quantity,Unit_Price,Discount,Sales,Profit,,,
ORD0001,4/13/2025,Customer_083,Backpack,Accessories,East,4,1883.52,0.2,6027.26,1207.07,,,
ORD0002,9/15/2025,Customer_088,Keyboard,Accessories,West,5,2291.55,0.1,10311.98,3257.38,,,
ORD0003,1/22/2025,Customer_089,Bookshelf,Furniture,North,2,6088.43,0,12176.85,3155.65,,,
ORD0004,2/20/2025,Customer_055,Printer,Electronics,West,4,13251.76,0.2,42405.63,12801.36,,,
ORD0005,10/1/2025,Customer_004,Mouse,Accessories,North,3,1243.27,0.15,3170.35,728.86,,,
ORD0006,9/21/2025,Customer_047,Smartphone,Electronics,East,2,25746.96,0.05,48919.23,8959.72,,,
ORD0007,2/23/2025,Customer_004,Laptop,Electronics,South,4,57808.98,0,231235.9,54333.23,,,
ORD0008,12/17/2025,Customer_048,Smartphone,Electronics,East,2,27412.84,0.05,52084.4,7014.11,,,
ORD0009,12/4/2025,Customer_053,Keyboard,Accessories,West,4,2123.15,0,8492.58,2057.45,,,
ORD0010,1/15/2025,Customer_045,Printer,Electronics,North,1,14119.55,1,13413.57,3914.28,,,
ORD0011,5/19/2025,Customer_081,Mouse,Accessories,West,1,1127.69,0.1,1014.92,323.65,,,
ORD0012,2/10/2025,Customer_028,Headphones,Electronics,East,3,3201.83,0.1,8644.94,2146.6,,,
ORD0013,8/4/2025,Customer_037,Mouse,Accessories,East,4,1095.25,0.05,4161.97,1072.97,,,
ORD0014,5/11/2025,Customer_001,Keyboard,Accessories,North,3,2148.49,0.1,5800.92,728.93,,,
ORD0015,6/28/2025,Customer_063,Printer,Electronics,West,3,13797.11,0.1,37252.21,11731.32,,,
ORD0016,8/19/2025,Customer_015,Backpack,Accessories,East,1,1803.09,0.05,1712.93,237.22,,,
ORD0017,3/7/2025,Customer_042,Office Chair,Furniture,North,5,8142.58,0,40712.89,11715.37,,,
ORD0018,10/13/2025,Customer_062,Mouse,Accessories,East,5,1272.88,0.15,5409.75,1529.26,,,
ORD0019,10/10/2025,Customer_062,Printer,Electronics,North,4,15139.12,0.05,57528.65,15278.09,,,
ORD0020,5/17/2025,Customer_062,Office Chair,Furniture,North,5,7661.82,0.15,32562.73,7093.81,,,
ORD0021,6/9/2025,Customer_096,Laptop,Electronics,West,3,52185.38,0.05,148728.34,42587.14,,,
ORD0022,10/22/2025,Customer_002,Mouse,Accessories,East,4,1313.23,0.05,4990.27,636.31,,,
ORD0023,5/10/2025,Customer_092,Laptop,Electronics,South,5,49905.76,0.05,237052.34,46957.02,,,
ORD0024,2/22/2025,Customer_044,Backpack,Accessories,South,5,1848.37,0.05,8779.74,1614.23,,,
ORD0025,10/21/2025,Customer_024,Bookshelf,Furniture,North,4,6330.55,0,25322.2,6876.7,,,
ORD0026,4/7/2025,Customer_073,Office Chair,Furniture,West,2,8560.82,0.1,15409.47,4652.77,,,
ORD0027,12/12/2025,Customer_067,Bookshelf,Furniture,East,5,6273.75,0.15,26663.42,7357.82,,,
ORD0028,5/8/2025,Customer_039,Headphones,Electronics,South,4,3272.06,0.1,11779.4,2141.64,,,
ORD0029,10/25/2025,Customer_099,Keyboard,Accessories,East,1,2303.5,0.1,2073.15,576.72,,,
ORD0030,9/11/2025,Customer_012,Printer,Electronics,North,1,13330.32,0.1,11997.29,1448.66,,,
ORD0031,7/27/2025,Customer_003,Desk,Furniture,West,3,11469.29,0,34407.87,6190.95,,,
ORD0032,4/14/2025,Customer_084,Keyboard,Accessories,South,1,2017.02,0.1,1815.32,522.22,,,
ORD0033,12/4/2025,Customer_066,Headphones,Electronics,South,1,3153.54,0.1,2838.19,816.94,,,
ORD0034,10/4/2025,Customer_048,Headphones,Electronics,West,5,3648.53,0.05,17330.5,4723.43,,,
ORD0035,1/22/2025,Customer_030,Keyboard,Accessories,South,3,2230.06,0.1,6021.15,1813.96,,,
ORD0036,10/4/2025,Customer_030,Bookshelf,Furniture,North,5,7027.93,0.05,33382.66,7782.2,,,
ORD0037,7/11/2025,Customer_049,Laptop,Electronics,West,5,54991.13,0.05,261207.85,53704.12,,,
ORD0038,4/9/2025,Customer_037,Laptop,Electronics,West,4,59993.21,0.15,203976.93,27950.37,,,
ORD0039,9/10/2025,Customer_085,Laptop,Electronics,West,5,60283.65,0.1,271276.41,82720.52,,,
ORD0040,8/11/2025,Customer_054,Backpack,Accessories,South,1,1681.02,0.05,1596.97,333.19,,,
ORD0041,6/4/2025,Customer_002,Headphones,Electronics,South,2,3843.04,0.1,6917.47,2019.78,,,
ORD0042,6/19/2025,Customer_026,Laptop,Electronics,East,1,57298.02,0,57298.02,12000.27,,,
0,2/5/2025,Customer_045,Smartphone,Electronics,West,1,25656.93,0.1,23091.23,7365.25,,,
ORD0044,10/15/2025,Customer_087,Laptop,Electronics,East,4,49803.78,0.15,169332.87,34582.35,,,
ORD0045,11/10/2025,Customer_058,Bookshelf,Furniture,South,3,6555.44,0.05,18683,4907.87,,,
ORD0046,4/11/2025,Customer_097,Laptop,Electronics,West,4,52835.92,0,211343.68,44928.18,,,
ORD0047,12/31/2025,Customer_096,Desk,Furniture,West,4,12294.94,0.05,46720.76,14153.14,,,
ORD0048,5/27/2025,Customer_017,Headphones,Electronics,West,4,3828.68,0,15314.7,2711.94,,,
ORD0049,11/14/2025,Customer_023,Headphones,Electronics,East,4,3325.6,0.1,11972.17,3389.72,,,
ORD0050,10/17/2025,Customer_096,Mouse,Accessories,South,4,1121.59,0.05,4262.04,1230.51,,,
ORD0051,7/11/2025,Customer_063,Bookshelf,Furniture,North,1,6213.91,0.1,5592.52,721.59,,,
ORD0052,3/27/2025,Customer_057,Bookshelf,Furniture,North,5,6172.05,0.05,29317.24,7294.29,,0,
ORD0053,8/6/2025,Customer_090,Desk,Furniture,West,1,13150.83,0.05,12493.28,3559.76,,,
ORD0054,1/10/2025,Customer_069,Desk,Furniture,West,4,11841.24,0,47364.98,11381.76,,,
ORD0055,9/14/2025,Customer_069,Smartphone,Electronics,North,4,28704.82,0.05,109078.3,23928.81,,,
ORD0056,6/1/2025,Customer_012,Office Chair,Furniture,South,2,8645.82,0,17291.64,2281.7,,,
ORD0057,9/25/2025,Customer_067,Headphones,Electronics,North,4,3717.84,0,14871.37,2318.03,,,
ORD0058,10/29/2025,Customer_002,Laptop,Electronics,North,2,52513.57,0.05,99775.79,27646.09,,,
ORD0059,3/31/2025,Customer_034,Headphones,Electronics,East,2,3199.83,0.1,5759.7,1475.66,,,
ORD0060,8/5/2025,Customer_021,Mouse,Accessories,North,4,1163.6,0.1,4188.96,555.75,,,
ORD0061,6/26/2025,Customer_099,Mouse,Accessories,West,4,1260.15,0,5040.59,799.6,,,
ORD0062,8/12/2025,Customer_037,Office Chair,Furniture,West,2,8636.92,0.05,16410.16,2405.35,,,
ORD0063,3/3/2025,Customer_084,Laptop,Electronics,West,5,52120.6,0.1,234542.69,57334.95,,,
ORD0064,8/21/2025,Customer_019,Mouse,Accessories,West,5,1173.41,0.15,4986.99,1585.03,,,
ORD0065,5/24/2025,Customer_069,Mouse,Accessories,East,4,1308.15,0.2,4186.07,859.45,,,
ORD0066,2/26/2025,Customer_039,Mouse,Accessories,North,4,1260.57,0.1,4538.05,733.73,,,
ORD0067,6/12/2025,Customer_087,Desk,Furniture,North,2,13190.23,0.2,21104.38,6517.58,,,
ORD0068,8/18/2025,Customer_007,Smartphone,Electronics,South,4,29887,0.1,107593.19,15775.99,,,
ORD0069,1/29/2025,Customer_037,Keyboard,Accessories,South,2,2372.43,0.05,4507.63,1310.27,,,
ORD0070,8/5/2025,Customer_045,Headphones,Electronics,West,5,3718.96,0.05,17665.06,2306.18,,,
ORD0071,4/1/2025,Customer_074,Office Chair,Furniture,South,4,8971.15,0,35884.6,7475.45,,,
ORD0072,5/28/2025,Customer_092,Headphones,Electronics,West,3,3433.64,0.05,9785.88,2013.01,,,
ORD0073,11/8/2025,Customer_033,Mouse,Accessories,South,1,1137,0.1,1023.3,245.55,,,
ORD0074,5/29/2025,Customer_080,Desk,Furniture,South,2,13127.71,0,26255.42,8175.1,,,
ORD0075,2/16/2025,Customer_049,Desk,Furniture,South,3,11407.18,0.15,29088.3,5262.59,,,
ORD0076,1/12/2025,Customer_074,Laptop,Electronics,West,5,53726.22,0.1,241767.99,41724.29,,,
ORD0077,6/13/2025,Customer_090,Keyboard,Accessories,West,4,2127.69,0,8510.76,2434.62,,,
ORD0078,7/11/2025,Customer_027,Printer,Electronics,South,4,12817.66,0.1,46143.57,5773.53,,,
ORD0079,2/15/2025,Customer_035,Laptop,Electronics,North,1,58451.75,0.05,55529.16,10164.82,,,
ORD0080,1/10/2025,Customer_056,Bookshelf,Furniture,South,2,6605.51,0.05,12550.47,1708.93,,,
ORD0081,3/6/2025,Customer_018,Smartphone,Electronics,West,3,25347.66,0,76042.97,18608.27,,,
ORD0082,10/10/2025,Customer_049,Laptop,Electronics,North,3,53689.8,0.1,144962.46,18267.75,,,
ORD0083,11/7/2025,Customer_006,Laptop,Electronics,West,2,50972.37,0,101944.75,32343.56,,,
ORD0084,2/22/2025,Customer_037,Laptop,Electronics,South,5,60463.01,0.2,241852.02,50526.19,,,
ORD0085,2/20/2025,Customer_045,Printer,Electronics,North,3,13861.52,0.05,39505.34,11621.21,,,
ORD0086,3/13/2025,Customer_039,Office Chair,Furniture,South,1,8700.82,0.1,7830.74,1944.9,,,
ORD0087,2/23/2025,Customer_005,Printer,Electronics,South,2,14927.84,0.05,28362.9,7330.24,,,
ORD0088,12/7/2025,Customer_014,Mouse,Accessories,South,1,1086.91,0,1086.91,183.66,,,
ORD0089,12/1/2025,Customer_091,Headphones,Electronics,East,4,3575.66,0.2,11442.12,2204.57,,,
ORD0090,1/30/2025,Customer_051,Smartphone,Electronics,North,4,27725.1,0.1,99810.35,13764.42,,,
ORD0091,12/6/2025,Customer_088,Desk,Furniture,North,5,13023.81,0,65119.05,14428.87,,,
ORD0092,4/21/2025,Customer_023,Smartphone,Electronics,East,5,26371.13,0.05,125262.88,25562.4,,,
ORD0093,7/14/2025,Customer_027,Bookshelf,Furniture,North,4,6299.37,0,25197.47,3543.83,,,
ORD0094,4/2/2025,Customer_042,Smartphone,Electronics,North,5,25428.86,0,127144.32,36390.36,,,
ORD0095,2/15/2025,Customer_034,Bookshelf,Furniture,unknown,5,6544.75,0.1,29451.38,7327.55,,,
ORD0096,8/2/2025,Customer_056,Printer,Electronics,South,5,12858.41,0.05,61077.46,13667.36,,,
ORD0097,6/29/2025,Customer_079,Laptop,Electronics,unknown,2,50429.69,0.15,85730.47,17192.76,,,
ORD0098,6/3/2025,Customer_014,Keyboard,Accessories,East,2,2213.76,0.1,3984.76,700.91,,,
ORD0099,8/27/2025,Customer_018,Keyboard,Accessories,South,3,2373.89,0.1,6409.51,1395.12,,,
ORD0100,1/28/2025,Customer_074,Bookshelf,Furniture,East,3,5986.33,0.05,17061.04,2943.35,,,
ORD0101,5/25/2025,Customer_013,Mouse,Accessories,West,1,1158.6,0.05,1100.67,325.85,,,
ORD0102,8/16/2025,Customer_086,Mouse,Accessories,South,4,1235.72,0.05,4695.73,1052.24,,,
ORD0103,6/29/2025,Customer_026,Keyboard,Accessories,West,1,2146.66,0.1,1931.99,487.85,,,
ORD0104,10/16/2025,Customer_053,Smartphone,Electronics,South,3,30724.49,0.05,87564.78,17411.82,,,
ORD0105,6/1/2025,Customer_055,Desk,Furniture,North,4,11010.93,0.15,37437.16,5946.03,,,
ORD0106,8/11/2025,Customer_006,Backpack,Accessories,South,3,1767.74,0.1,4772.91,589.57,,,
ORD0107,4/4/2025,Customer_051,Office Chair,Furniture,South,4,7659.01,0.15,26040.63,3254.73,,,
ORD0108,10/27/2025,Customer_005,Mouse,Accessories,South,2,1217.19,0.1,2190.94,578.42,,,
ORD0109,2/16/2025,Customer_001,Printer,Electronics,South,4,14021.31,0.05,53280.97,14466.75,,,
ORD0110,9/16/2025,Customer_033,Bookshelf,Furniture,South,5,7061.62,0.1,31777.28,8130.9,,,
ORD0111,6/17/2025,Customer_002,Smartphone,Electronics,West,2,28273.96,0.1,50893.13,14232.46,,,
ORD0112,2/7/2025,Customer_035,Laptop,Electronics,South,5,50783.66,0,253918.28,57224.74,,,
ORD0113,5/17/2025,Customer_034,Laptop,Electronics,West,5,60115.3,0.15,255490.01,75405.46,,,
ORD0114,12/15/2025,Customer_072,Headphones,Electronics,East,3,3655.12,0.15,9320.55,2892.92,,,
ORD0115,1/5/2025,Customer_083,Mouse,Accessories,East,5,1119.28,0.05,5316.57,1526.64,,,
ORD0116,11/24/2025,Customer_039,Printer,Electronics,West,4,14247.26,0.05,54139.58,9929.39,,,
ORD0117,6/2/2025,Customer_017,Headphones,Electronics,North,5,3673.33,0.05,17448.3,3829.13,,,
ORD0118,7/17/2025,Customer_006,Backpack,Accessories,East,2,1946.33,0.1,3503.39,683.7,,,
ORD0119,6/6/2025,Customer_033,Backpack,Accessories,West,3,1670.14,0.05,4759.89,767.27,,,
ORD0120,10/16/2025,Customer_068,Backpack,Accessories,South,3,1674.6,0.1,4521.43,1164.97,,,
ORD0121,6/8/2025,Customer_047,Smartphone,Electronics,West,2,29425.96,0.05,55909.32,16740.19,,,
ORD0122,2/16/2025,Customer_068,Keyboard,Accessories,West,4,2330.81,0.05,8857.08,2568.7,,,
ORD0123,10/26/2025,Customer_027,Smartphone,Electronics,North,3,29086.11,0.1,78532.5,16606.1,,,
ORD0124,1/23/2025,Customer_047,Office Chair,Furniture,South,3,8232.29,0.2,19757.5,5424.02,,,
ORD0125,4/14/2025,Customer_060,Printer,Electronics,East,5,12882.22,0,64411.12,17313.51,,,
ORD0126,4/2/2025,Customer_031,Office Chair,Furniture,South,4,7689.14,0.1,27680.9,5251.8,,,
ORD0127,9/14/2025,Customer_046,Mouse,Accessories,North,3,1304.25,0.1,3521.47,475,,,
ORD0128,11/15/2025,Customer_054,Desk,Furniture,East,2,11099.19,0.15,18868.62,2562.96,,,
ORD0129,11/9/2025,Customer_026,Headphones,Electronics,North,5,3670.97,0.05,17437.13,4862.94,,,
ORD0130,7/29/2025,Customer_091,Headphones,Electronics,South,4,3793.9,0.1,13658.04,3424.49,,,
ORD0131,1/25/2025,Customer_071,Laptop,Electronics,West,3,59540.24,0,178620.73,48290.96,,,
ORD0132,5/30/2025,Customer_026,Bookshelf,Furniture,West,5,6321.11,0.15,26864.73,5477.24,,,
ORD0133,5/28/2025,Customer_086,Smartphone,Electronics,West,5,30663.03,0.1,137983.64,31488.17,,,
ORD0134,7/30/2025,Customer_062,Keyboard,Accessories,West,1,2116.37,0.05,2010.55,483.61,,,
ORD0135,9/14/2025,Customer_078,Laptop,Electronics,East,5,58702.21,0.05,278835.51,56466.78,,,
ORD0136,11/15/2025,Customer_004,Smartphone,Electronics,North,2,27894.09,0.1,50209.37,11076.07,,,
ORD0137,6/11/2025,Customer_097,Keyboard,Accessories,East,5,2311.43,0,11557.14,3068.88,,,
ORD0138,11/9/2025,Customer_067,Backpack,Accessories,West,4,1932.12,0.15,6569.2,1566.12,,,
ORD0139,8/17/2025,Customer_067,Backpack,Accessories,East,3,1834.22,0.1,4952.39,1248.72,,,
ORD0140,3/19/2025,Customer_032,Laptop,Electronics,West,4,50593.86,0.05,192256.65,52171.83,,,
ORD0141,1/7/2025,Customer_074,Office Chair,Furniture,East,4,7998.47,0.1,28794.5,7526.03,,,
ORD0142,7/7/2025,Customer_082,Laptop,Electronics,South,5,51495.79,0,257478.95,52369.08,,,
ORD0143,4/29/2025,Customer_012,Laptop,Electronics,West,5,52353.66,0.05,248679.87,60693.19,,,
ORD0144,12/21/2025,Customer_086,Desk,Furniture,West,5,12124.91,0.05,57593.34,13406.27,,,
ORD0145,5/8/2025,Customer_096,Keyboard,Accessories,North,1,2194.47,0.15,1865.3,263.17,,,
